iter,type,batch_size,num_tokens,max_seq_len,t_start_ms,t_end_ms,duration_ms
124,decode,103,104,312,13033.263,13033.986,0.723
125,decode,86,88,313,13045.404,13046.055,0.65
126,decode,64,64,314,13056.79,13057.303,0.513
127,decode,51,56,315,13068.404,13068.905,0.501
128,decode,37,40,281,13079.176,13079.689,0.512
129,prefill,48,8192,257,13096.598,13109.016,12.417
130,prefill,44,8192,250,13117.211,13129.352,12.141
131,decode,113,120,282,13433.548,13434.478,0.929
132,decode,103,104,283,13760.598,13761.337,0.739
133,decode,83,88,284,13772.356,13773.0,0.644
134,decode,62,64,285,13784.206,13784.727,0.521
135,decode,49,56,286,13795.546,13796.038,0.491
136,prefill,57,8192,268,13814.662,13826.704,12.042
137,prefill,44,8192,238,13834.806,13846.539,11.733
138,decode,135,136,287,14152.351,14153.337,0.985
139,decode,112,112,288,14481.049,14481.81,0.761
140,decode,87,88,289,14499.515,14500.15,0.635
141,decode,66,72,290,14509.368,14509.932,0.564
142,decode,53,56,291,14520.515,14521.015,0.499
143,prefill,45,8192,274,14538.033,14550.096,12.063
144,prefill,40,8192,260,14557.539,14569.366,11.827
145,decode,119,120,292,14874.379,14875.172,0.793
146,decode,97,104,293,15203.595,15204.439,0.843
147,decode,72,72,294,15217.064,15217.624,0.56
148,decode,61,64,295,15226.202,15226.723,0.521
149,decode,41,48,279,15238.782,15239.339,0.557
150,prefill,46,8192,263,15255.932,15268.514,12.583
151,prefill,38,8192,263,15275.679,15287.551,11.872
152,decode,107,112,266,15592.375,15593.119,0.744
153,decode,85,88,267,15919.107,15919.759,0.652
154,decode,66,72,268,15932.418,15932.981,0.563
155,decode,55,56,269,15941.969,15942.465,0.496
156,decode,37,40,268,15954.361,15954.798,0.437
157,decode,30,32,269,15963.76,15964.995,1.234
158,prefill,55,8192,270,15982.252,15994.458,12.206
159,prefill,41,8192,263,16002.16,16013.937,11.777
160,decode,114,120,271,16317.741,16318.523,0.782
161,decode,96,96,272,16644.467,16645.148,0.682
162,decode,72,72,273,16657.074,16657.624,0.55
163,decode,63,64,274,16666.967,16667.481,0.515
164,decode,55,56,275,16678.687,16679.178,0.49
165,prefill,39,8192,280,16695.869,16707.997,12.127
166,prefill,44,8192,304,16716.167,16727.941,11.774
167,decode,123,128,305,17034.895,17035.693,0.799
168,decode,111,112,306,17364.875,17365.61,0.735
169,decode,94,96,307,17377.074,17377.717,0.643
170,decode,76,80,308,17389.498,17390.09,0.591
171,decode,58,64,309,17401.971,17402.486,0.515
172,decode,43,48,310,17413.489,17413.957,0.468
173,prefill,46,8192,261,17430.321,17442.506,12.185
174,prefill,39,8192,258,17449.757,17461.502,11.745
175,decode,115,120,311,17766.603,17767.38,0.776
176,decode,87,88,312,18096.242,18097.106,0.864
177,decode,72,72,295,18109.396,18110.079,0.683
178,decode,60,64,296,18119.177,18119.808,0.631
179,decode,45,48,291,18131.473,18132.039,0.565
180,decode,33,40,292,18142.015,18142.528,0.513
181,prefill,54,8192,255,18160.57,18172.806,12.236
182,prefill,44,8192,251,18180.763,18192.614,11.851
183,decode,123,128,293,18496.737,18497.67,0.933
184,decode,100,104,294,18825.277,18826.151,0.874
185,decode,76,80,295,18838.232,18838.937,0.705
186,decode,62,64,296,18847.641,18848.165,0.524
187,decode,50,56,297,18859.402,18859.98,0.578
188,decode,39,40,298,18870.174,18870.593,0.419
189,prefill,39,8192,267,18885.959,18898.144,12.185
190,prefill,45,8192,268,18906.592,18918.42,11.828
191,decode,114,120,299,19224.343,19225.302,0.958
192,decode,103,104,276,19553.812,19554.575,0.762
193,decode,82,88,277,19566.091,19566.729,0.638
194,decode,61,64,278,19577.64,19578.18,0.539
195,decode,52,56,278,19588.544,19589.034,0.49
196,decode,41,48,279,19599.713,19600.172,0.459
197,prefill,64,8192,263,19620.662,19632.81,12.148
198,prefill,38,8192,267,19639.727,19651.448,11.72
199,decode,129,136,280,19958.405,19959.42,1.016
200,decode,106,112,281,20285.931,20286.816,0.885
201,decode,90,96,282,20304.241,20305.014,0.773
202,decode,73,80,283,20314.861,20315.443,0.583
203,decode,64,64,284,20326.175,20326.694,0.519
204,prefill,52,8192,261,20345.845,20358.165,12.319
205,prefill,47,8192,221,20367.082,20378.904,11.822
206,decode,141,144,285,20688.136,20689.243,1.107
207,decode,120,120,274,21013.802,21014.572,0.77
208,decode,102,104,275,21209.276,21210.083,0.807
209,decode,82,88,276,21216.023,21216.645,0.623
210,decode,72,72,277,21226.066,21226.61,0.544
211,decode,61,64,278,21237.423,21237.955,0.532
212,prefill,61,8192,251,21258.723,21271.05,12.327
213,prefill,44,8192,269,21279.391,21291.278,11.887
214,decode,142,144,271,21594.598,21595.49,0.891
215,decode,120,120,272,21922.081,21922.85,0.769
216,decode,99,104,272,21939.863,21940.535,0.672
217,decode,89,96,273,21949.761,21950.393,0.633
218,decode,73,80,274,21962.84,21963.413,0.573
219,prefill,57,8192,224,21982.601,21995.009,12.409
220,prefill,47,8192,235,22004.028,22015.878,11.85
221,decode,159,160,275,22332.004,22333.737,1.733
222,decode,136,136,276,22660.313,22661.145,0.832
223,decode,116,120,273,22679.07,22679.83,0.76
224,decode,89,96,260,22695.597,22696.254,0.656
225,decode,73,80,261,22706.846,22707.42,0.575
226,prefill,54,8192,250,22726.923,22739.136,12.213
227,prefill,39,8192,294,22746.688,22758.501,11.813
228,decode,142,144,295,23063.429,23064.435,1.006
229,decode,110,112,296,23395.257,23396.102,0.845
230,decode,89,96,264,23414.61,23415.267,0.657
231,decode,73,80,265,23423.724,23424.32,0.596
232,decode,58,64,257,23435.65,23436.181,0.531
233,prefill,45,8192,259,23452.612,23465.225,12.613
234,prefill,44,8192,271,23473.343,23485.344,12.001
235,decode,139,144,272,23790.66,23791.539,0.879
236,decode,123,128,273,24122.251,24123.023,0.772
237,decode,105,112,274,24139.932,24140.62,0.689
238,decode,93,96,275,24150.869,24151.5,0.631
239,decode,77,80,276,24164.007,24164.573,0.567
240,decode,66,72,277,24176.032,24176.589,0.557
241,prefill,50,8192,270,24193.892,24206.161,12.269
242,prefill,39,8192,278,24213.623,24225.394,11.771
243,decode,146,152,279,24532.577,24533.552,0.975
244,decode,124,128,280,24863.843,24864.618,0.775
245,decode,104,104,280,24882.95,24883.614,0.664
246,decode,85,88,281,24894.596,24895.229,0.633
247,decode,76,80,282,24906.176,24906.759,0.583
248,prefill,45,8192,277,24924.923,24937.166,12.243
249,prefill,44,8192,269,24945.633,24957.448,11.814
250,decode,145,152,283,25265.149,25266.034,0.886
251,decode,120,120,284,25596.161,25596.91,0.749
252,decode,105,112,285,25616.665,25617.375,0.709
253,decode,95,96,286,25625.448,25626.099,0.651
254,decode,81,88,281,25638.697,25639.312,0.615
255,decode,71,72,282,25650.842,25651.387,0.545
256,prefill,49,8192,257,25670.877,25683.17,12.293
257,prefill,44,8192,248,25691.691,25703.56,11.869
258,decode,141,144,282,26009.422,26010.284,0.863
259,decode,121,128,283,26339.448,26340.273,0.825
260,decode,105,112,279,26357.605,26358.32,0.716
261,decode,89,96,280,26368.463,26369.11,0.647
262,decode,69,72,281,26381.568,26382.121,0.553
263,prefill,39,8192,272,26398.224,26410.909,12.685
264,prefill,43,8192,241,26418.896,26430.689,11.793
265,decode,136,136,282,26740.464,26741.299,0.835
266,decode,113,120,283,27070.924,27071.674,0.75
267,decode,92,96,284,27089.532,27090.175,0.644
268,decode,77,80,285,27100.098,27100.671,0.573
269,decode,64,64,286,27112.301,27112.829,0.528
270,decode,54,56,287,27123.923,27124.412,0.489
271,prefill,51,8192,252,27142.871,27155.046,12.175
272,prefill,47,8192,243,27163.344,27175.092,11.747
273,decode,135,136,281,27481.808,27482.636,0.828
274,decode,115,120,282,27812.151,27812.902,0.751
275,decode,98,104,282,27829.49,27830.175,0.685
276,decode,74,80,283,27841.507,27842.104,0.597
277,decode,58,64,284,27852.879,27853.387,0.508
278,prefill,40,8192,249,27869.985,27882.108,12.123
279,prefill,39,8192,298,27889.561,27901.49,11.929
280,decode,120,120,299,28209.588,28210.342,0.754
281,decode,105,112,300,28540.651,28541.376,0.725
282,decode,87,88,301,28553.366,28553.984,0.618
283,decode,68,72,302,28565.238,28565.79,0.552
284,decode,57,64,303,28576.509,28577.03,0.521
285,decode,48,48,304,28587.795,28588.254,0.459
286,prefill,62,8192,298,28608.31,28621.018,12.708
287,prefill,40,8192,270,28633.487,28645.384,11.897
288,decode,137,144,305,28948.951,28949.831,0.88
289,decode,112,112,300,29277.148,29277.874,0.726
290,decode,91,96,301,29296.362,29297.031,0.669
291,decode,71,72,302,29306.459,29307.016,0.557
292,decode,52,56,303,29318.359,29318.864,0.505
293,prefill,44,8192,278,29335.39,29347.664,12.274
294,prefill,42,8192,261,29361.696,29373.603,11.907
295,decode,124,128,304,29675.249,29676.059,0.81
296,decode,108,112,305,30007.548,30008.277,0.729
297,decode,95,96,306,30019.47,30020.114,0.644
298,decode,85,88,307,30031.086,30031.685,0.599
299,decode,72,72,304,30043.894,30044.434,0.54
300,prefill,50,8192,246,30063.663,30076.189,12.526
301,prefill,43,8192,248,30090.581,30102.663,12.082
302,decode,146,152,273,30403.95,30404.892,0.941
303,decode,126,128,270,30735.195,30735.994,0.799
304,decode,102,104,271,30753.678,30754.358,0.68
305,decode,84,88,272,30764.382,30764.996,0.614
306,decode,68,72,273,30776.713,30777.266,0.553
307,prefill,48,8192,243,30794.548,30807.288,12.739
308,prefill,40,8192,260,30820.546,30833.313,12.767
309,decode,143,144,274,31135.2,31136.074,0.875
310,decode,123,128,275,31467.064,31467.928,0.864
311,decode,97,104,276,31485.162,31485.846,0.684
312,decode,76,80,277,31496.192,31496.79,0.598
313,decode,68,72,278,31507.024,31507.567,0.543
314,decode,51,56,278,31519.627,31520.121,0.494
315,prefill,43,8192,268,31536.009,31548.405,12.396
316,prefill,37,8192,273,31560.288,31572.308,12.02
317,decode,121,128,279,31875.133,31875.94,0.807
318,decode,102,104,275,32210.313,32211.027,0.714
319,decode,86,88,276,32220.428,32221.049,0.622
320,decode,70,72,277,32232.323,32232.881,0.558
321,decode,59,64,278,32243.608,32244.13,0.522
322,decode,40,40,274,32255.866,32256.293,0.427
323,prefill,47,8192,263,32273.676,32285.9,12.224
324,prefill,36,8192,303,32297.405,32309.935,12.531
325,decode,105,112,304,32613.339,32614.081,0.742
326,decode,90,96,305,32945.169,32945.834,0.665
327,decode,67,72,299,32957.601,32958.157,0.556
328,decode,58,64,300,32967.77,32968.281,0.511
329,decode,48,48,301,32979.475,32979.939,0.464
330,decode,43,48,302,32989.793,32990.233,0.44
331,prefill,47,8192,308,33008.503,33020.761,12.258
332,prefill,47,8192,235,33034.785,33046.879,12.093
333,decode,122,128,309,33347.916,33348.717,0.801
334,decode,107,112,310,33679.434,33680.154,0.72
335,decode,86,88,311,33691.065,33691.671,0.606
336,decode,66,72,312,33703.13,33703.688,0.558
337,decode,56,56,313,33713.97,33714.454,0.484
338,prefill,46,8192,254,33731.674,33744.06,12.386
339,prefill,40,8192,258,33756.571,33768.565,11.994
340,decode,126,128,314,34072.681,34073.515,0.834
341,decode,98,104,315,34405.002,34405.708,0.706
342,decode,69,72,308,34420.083,34420.629,0.546
343,decode,50,56,309,34428.92,34429.401,0.482
344,decode,42,48,310,34439.002,34439.461,0.459
345,decode,30,32,311,34449.906,34450.387,0.481
346,prefill,51,8192,259,34468.765,34480.962,12.197
347,prefill,41,8192,272,34493.821,34505.968,12.147
348,decode,105,112,273,34808.098,34808.851,0.752
349,decode,80,80,274,35139.785,35140.367,0.582
350,decode,51,56,275,35153.47,35153.966,0.496
351,decode,40,40,276,35161.231,35161.649,0.418
352,decode,25,32,277,35172.15,35172.541,0.391
353,prefill,48,8192,258,35188.902,35201.414,12.511
354,prefill,44,8192,256,35214.468,35226.347,11.879
355,decode,103,104,278,35528.188,35528.899,0.711
356,decode,85,88,279,35859.122,35859.768,0.646
357,decode,67,72,280,35870.457,35871.013,0.555
358,decode,52,56,281,35881.142,35881.625,0.482
359,decode,44,48,282,35891.861,35892.496,0.636
360,prefill,44,8192,242,35909.784,35922.555,12.771
361,prefill,38,8192,255,35935.245,35947.615,12.37
362,decode,113,120,283,36251.077,36251.875,0.798
363,decode,94,96,259,36583.281,36584.094,0.814
364,decode,84,88,260,36595.05,36595.669,0.619
365,decode,73,80,259,36605.567,36606.154,0.586
366,decode,63,64,258,36617.527,36618.062,0.536
367,decode,55,56,259,36629.204,36629.689,0.485
368,prefill,52,8192,257,36649.141,36661.661,12.52
369,prefill,46,8192,229,36675.096,36686.989,11.893
370,decode,128,128,260,36990.339,36991.253,0.915
371,decode,102,104,261,37321.724,37322.437,0.713
372,decode,85,88,262,37334.529,37335.175,0.647
373,decode,73,80,260,37344.548,37345.136,0.589
374,decode,62,64,261,37356.659,37357.183,0.525
375,decode,56,56,262,37367.864,37368.345,0.481
376,prefill,41,8192,270,37384.22,37396.664,12.444
377,prefill,42,8192,268,37409.927,37421.964,12.038
378,decode,131,136,271,37726.234,37727.143,0.909
379,decode,105,112,272,38058.62,38059.395,0.775
380,decode,87,88,273,38076.242,38076.879,0.637
381,decode,65,72,274,38087.184,38087.798,0.614
382,decode,52,56,275,38098.214,38098.699,0.485
383,prefill,38,8192,247,38114.327,38126.653,12.326
384,prefill,40,8192,242,38139.793,38151.945,12.153
385,decode,115,120,276,38456.27,38457.059,0.79
386,decode,96,96,277,38791.664,38792.387,0.722
387,decode,73,80,278,38803.801,38804.38,0.579
388,decode,55,56,279,38814.829,38815.313,0.485
389,decode,49,56,280,38825.302,38825.79,0.489
390,decode,39,40,275,38836.355,38836.793,0.438
391,prefill,51,8192,251,38854.836,38867.23,12.395
392,prefill,44,8192,259,38880.582,38893.03,12.448
393,decode,118,120,276,39194.035,39194.83,0.795
394,decode,103,104,277,39524.772,39525.457,0.685
395,decode,85,88,278,39536.202,39536.82,0.618
396,decode,68,72,279,39547.658,39548.212,0.553
397,decode,53,56,280,39559.566,39560.064,0.498
398,decode,36,40,259,39571.174,39571.592,0.418
399,prefill,41,8192,264,39585.994,39598.59,12.597
400,prefill,40,8192,264,39611.229,39623.191,11.962
401,decode,103,104,265,39926.739,39927.497,0.759
402,decode,85,88,266,40257.428,40258.073,0.645
403,decode,65,72,267,40269.316,40269.895,0.579
404,decode,53,56,268,40279.005,40279.489,0.483
405,decode,34,40,269,40291.336,40291.77,0.434
406,decode,27,32,270,40300.407,40300.813,0.406
407,prefill,48,8192,279,40317.73,40330.246,12.516
408,prefill,42,8192,271,40343.373,40355.367,11.994
409,decode,107,112,280,40654.945,40655.713,0.768
410,decode,92,96,281,40988.428,40989.184,0.755
411,decode,77,80,282,40996.367,40996.962,0.595
412,decode,61,64,283,41007.842,41008.366,0.525
413,decode,51,56,284,41019.112,41019.596,0.483
414,prefill,42,8192,271,41036.663,41049.042,12.379
415,prefill,41,8192,266,41062.139,41074.209,12.07
416,decode,109,112,281,41377.548,41378.323,0.774
417,decode,94,96,282,41707.984,41708.653,0.668
418,decode,79,80,283,41719.088,41719.672,0.584
419,decode,65,72,284,41730.855,41731.406,0.552
420,decode,49,56,272,41743.946,41744.657,0.711
421,decode,41,48,273,41753.672,41754.262,0.591
422,prefill,54,8192,269,41773.528,41786.047,12.519
423,prefill,40,8192,264,41799.144,41811.206,12.062
424,decode,125,128,270,42111.366,42112.35,0.985
425,decode,108,112,271,42441.267,42442.117,0.85
426,decode,92,96,272,42453.608,42454.379,0.771
427,decode,81,88,273,42464.542,42465.263,0.721
428,decode,70,72,274,42476.867,42477.52,0.654
429,decode,57,64,275,42489.115,42489.728,0.614
430,prefill,50,8192,269,42507.476,42519.774,12.299
431,prefill,45,8192,243,42534.03,42546.167,12.137
432,decode,139,144,276,42850.563,42851.562,0.999
433,decode,114,120,277,43180.418,43181.287,0.87
434,decode,90,96,278,43198.326,43198.994,0.667
435,decode,74,80,279,43208.39,43209.067,0.677
436,decode,55,56,278,43220.654,43221.157,0.502
437,decode,40,40,279,43231.681,43232.213,0.532
438,prefill,35,8192,285,43246.849,43259.113,12.264
439,prefill,42,8192,267,43272.828,43284.896,12.068
440,decode,97,104,286,43585.92,43586.767,0.847
441,decode,64,64,287,43918.678,43919.266,0.588
442,decode,60,64,288,43929.046,43929.561,0.515
443,decode,45,48,289,43939.438,43939.917,0.479
444,decode,35,40,281,43949.776,43950.207,0.431
445,decode,29,32,282,43959.63,43960.136,0.506
446,prefill,47,8192,259,43977.255,43989.729,12.475
447,prefill,41,8192,262,44002.864,44015.03,12.166
448,decode,106,112,283,44316.214,44317.019,0.805
449,decode,97,104,284,44646.454,44647.172,0.718
450,decode,83,88,283,44657.046,44657.697,0.651
451,decode,76,80,284,44668.377,44668.979,0.602
452,decode,61,64,285,44681.284,44681.816,0.532
453,prefill,51,8192,255,44700.695,44713.149,12.454
454,prefill,45,8192,254,44727.552,44740.233,12.681
455,decode,135,136,286,45042.956,45043.932,0.976
456,decode,118,120,269,45372.693,45373.454,0.761
457,decode,101,104,270,45389.456,45390.139,0.683
458,decode,79,80,271,45401.542,45402.136,0.594
459,decode,66,72,272,45412.939,45413.491,0.552
460,prefill,52,8192,280,45432.18,45444.627,12.448
461,prefill,45,8192,257,45458.654,45471.302,12.649
462,decode,150,152,281,45773.723,45774.723,1.0
463,decode,130,136,282,46106.475,46107.32,0.845
464,decode,104,104,283,46124.89,46125.567,0.678
465,decode,83,88,284,46139.976,46140.587,0.611
