iter_end,module,count,total_ms,mean_ms,min_ms,max_ms
140,down_proj,360,22.0344,0.0612,0.0594,0.0645
140,gate_up_proj,360,37.3176,0.1037,0.1014,0.1085
140,mlp,360,67.5635,0.1877,0.1843,0.1925
140,o_proj,360,13.5905,0.0378,0.0369,0.0399
140,qkv_proj,360,14.6555,0.0407,0.0379,0.0860
150,attn,360,248.9057,0.6914,0.6758,0.9953
150,attn_kernel,360,214.3304,0.5954,0.5806,0.8571
150,down_proj,360,22.0273,0.0612,0.0594,0.0645
150,gate_up_proj,360,37.3125,0.1036,0.1014,0.1075
150,mlp,360,67.5543,0.1877,0.1843,0.1925
150,o_proj,360,13.5844,0.0377,0.0358,0.0399
150,qkv_proj,360,14.6094,0.0406,0.0379,0.0707
160,attn,360,249.4208,0.6928,0.6738,1.0588
160,attn_kernel,360,214.7922,0.5966,0.5796,0.9103
160,down_proj,360,22.0447,0.0612,0.0594,0.0645
160,gate_up_proj,360,37.2992,0.1036,0.1014,0.1075
160,mlp,360,67.5564,0.1877,0.1843,0.1925
160,o_proj,360,13.5936,0.0378,0.0369,0.0399
160,qkv_proj,360,14.6514,0.0407,0.0379,0.0881
170,attn,360,249.5816,0.6933,0.6769,0.9953
170,attn_kernel,360,214.7901,0.5966,0.5827,0.8581
170,down_proj,360,22.0436,0.0612,0.0594,0.0645
170,gate_up_proj,360,37.3279,0.1037,0.1014,0.1085
170,mlp,360,67.5809,0.1877,0.1843,0.1925
170,o_proj,360,13.5905,0.0378,0.0369,0.0399
170,qkv_proj,360,14.8009,0.0411,0.0379,0.2181
180,attn,360,248.9815,0.6916,0.6728,1.0056
180,attn_kernel,360,214.3498,0.5954,0.5796,0.8376
180,down_proj,360,22.0160,0.0612,0.0594,0.0635
180,gate_up_proj,360,37.3422,0.1037,0.1014,0.1075
180,mlp,360,67.5820,0.1877,0.1843,0.1925
180,o_proj,360,13.5803,0.0377,0.0358,0.0399
180,qkv_proj,360,14.6678,0.0407,0.0379,0.0952
190,attn,360,249.1914,0.6922,0.6748,1.0455
190,attn_kernel,360,214.5249,0.5959,0.5796,0.8602
190,down_proj,360,22.0375,0.0612,0.0594,0.0645
190,gate_up_proj,360,37.3340,0.1037,0.1014,0.1075
190,mlp,360,67.5963,0.1878,0.1843,0.1925
190,o_proj,360,13.5762,0.0377,0.0369,0.0399
190,qkv_proj,360,14.5981,0.0406,0.0379,0.0696
200,attn,360,252.2184,0.7006,0.6748,1.0301
200,attn_kernel,360,217.6696,0.6046,0.5816,0.8817
200,down_proj,360,22.0477,0.0612,0.0594,0.0635
200,gate_up_proj,360,37.3586,0.1038,0.1014,0.1075
200,mlp,360,67.6219,0.1878,0.1843,0.1925
200,o_proj,360,13.5864,0.0377,0.0369,0.0399
200,qkv_proj,360,14.5828,0.0405,0.0379,0.0799
210,attn,360,265.1986,0.7367,0.7148,1.1264
210,attn_kernel,360,230.0099,0.6389,0.6195,0.9656
210,down_proj,360,22.0867,0.0614,0.0594,0.0635
210,gate_up_proj,360,37.4497,0.1040,0.1014,0.1075
210,mlp,360,67.8687,0.1885,0.1843,0.1935
210,o_proj,360,13.7728,0.0383,0.0369,0.1905
210,qkv_proj,360,14.8439,0.0412,0.0389,0.2243
220,attn,360,266.0383,0.7390,0.7178,1.0291
220,attn_kernel,360,231.3800,0.6427,0.6216,0.8929
220,down_proj,360,22.0877,0.0614,0.0594,0.0635
220,gate_up_proj,360,37.4620,0.1041,0.1014,0.1075
220,mlp,360,67.8912,0.1886,0.1843,0.1935
220,o_proj,360,13.6008,0.0378,0.0369,0.0399
220,qkv_proj,360,14.6483,0.0407,0.0379,0.0676
230,attn,360,265.8693,0.7385,0.7178,1.0271
230,attn_kernel,360,231.0605,0.6418,0.6236,0.8919
230,down_proj,360,22.0733,0.0613,0.0594,0.0645
230,gate_up_proj,360,37.4354,0.1040,0.1014,0.1075
230,mlp,360,67.8656,0.1885,0.1853,0.1925
230,o_proj,360,13.5905,0.0378,0.0369,0.0399
230,qkv_proj,360,14.8214,0.0412,0.0379,0.2212
240,attn,360,266.1601,0.7393,0.7199,1.0629
240,attn_kernel,360,231.4967,0.6430,0.6257,0.9247
240,down_proj,360,22.0672,0.0613,0.0594,0.0635
240,gate_up_proj,360,37.4589,0.1041,0.1014,0.1075
240,mlp,360,67.8554,0.1885,0.1843,0.1925
240,o_proj,360,13.5997,0.0378,0.0358,0.0399
240,qkv_proj,360,14.6647,0.0407,0.0389,0.0829
250,attn,360,265.9768,0.7388,0.7188,1.0988
250,attn_kernel,360,231.2899,0.6425,0.6236,0.9544
250,down_proj,360,22.0826,0.0613,0.0594,0.0635
250,gate_up_proj,360,37.4129,0.1039,0.1014,0.1075
250,mlp,360,67.8124,0.1884,0.1843,0.1925
250,o_proj,360,13.6120,0.0378,0.0369,0.0410
250,qkv_proj,360,14.6637,0.0407,0.0379,0.0727
260,attn,360,265.6328,0.7379,0.7188,1.0414
260,attn_kernel,360,230.9786,0.6416,0.6246,0.9062
260,down_proj,360,22.0969,0.0614,0.0594,0.0645
260,gate_up_proj,360,37.4548,0.1040,0.1014,0.1075
260,mlp,360,67.8871,0.1886,0.1843,0.1925
260,o_proj,360,13.6079,0.0378,0.0369,0.0399
260,qkv_proj,360,14.6616,0.0407,0.0379,0.0758
270,attn,360,266.0485,0.7390,0.7178,1.0373
270,attn_kernel,360,231.3964,0.6428,0.6226,0.9011
270,down_proj,360,22.0600,0.0613,0.0594,0.0635
270,gate_up_proj,360,37.4548,0.1040,0.1014,0.1075
270,mlp,360,67.8584,0.1885,0.1843,0.1925
270,o_proj,360,13.5956,0.0378,0.0369,0.0399
270,qkv_proj,360,14.6534,0.0407,0.0379,0.0676
280,attn,360,266.1407,0.7393,0.7188,1.0516
280,attn_kernel,360,231.4435,0.6429,0.6246,0.9155
280,down_proj,360,22.0641,0.0613,0.0594,0.0635
280,gate_up_proj,360,37.4856,0.1041,0.1014,0.1075
280,mlp,360,67.8871,0.1886,0.1843,0.1935
280,o_proj,360,13.6151,0.0378,0.0369,0.0399
280,qkv_proj,360,14.6545,0.0407,0.0379,0.0727
290,attn,360,266.0506,0.7390,0.7209,1.0332
290,attn_kernel,360,231.3851,0.6427,0.6257,0.8878
290,down_proj,360,22.0744,0.0613,0.0594,0.0645
290,gate_up_proj,360,37.4620,0.1041,0.1014,0.1075
290,mlp,360,67.8738,0.1885,0.1843,0.1925
290,o_proj,360,13.6151,0.0378,0.0369,0.0399
290,qkv_proj,360,14.6770,0.0408,0.0389,0.0788
300,attn,360,258.4443,0.7179,0.6410,1.0609
300,attn_kernel,360,223.0262,0.6195,0.5437,0.8950
300,down_proj,360,22.4707,0.0624,0.0594,0.0758
300,gate_up_proj,360,37.6330,0.1045,0.1014,0.2007
300,mlp,360,68.4575,0.1902,0.1853,0.3297
300,o_proj,360,14.3299,0.0398,0.0369,0.3881
300,qkv_proj,360,14.6319,0.0406,0.0379,0.0696
310,attn,360,237.6673,0.6602,0.6380,1.0619
310,attn_kernel,360,201.7905,0.5605,0.5396,0.8991
310,down_proj,360,23.2735,0.0646,0.0594,0.0707
310,gate_up_proj,360,37.6064,0.1045,0.1004,0.1075
310,mlp,360,69.1016,0.1919,0.1864,0.1997
310,o_proj,360,14.8613,0.0413,0.0389,0.0451
310,qkv_proj,360,14.6278,0.0406,0.0379,0.0768
320,attn,360,237.9878,0.6611,0.6390,0.9585
320,attn_kernel,360,202.0762,0.5613,0.5407,0.8202
320,down_proj,360,23.2110,0.0645,0.0604,0.0707
