iter,type,batch_size,num_tokens,max_seq_len,t_start_ms,t_end_ms,duration_ms
119,decode,8,8,38336,27107.696,27108.034,0.338
120,decode,8,8,38337,27138.724,27139.067,0.342
121,decode,8,8,38338,27169.594,27169.924,0.33
122,decode,8,8,38339,27200.617,27200.959,0.342
123,prefill,1,8192,8196,27232.995,27245.868,12.874
124,prefill,1,8192,16388,27262.697,27276.415,13.718
125,prefill,2,8192,23654,27900.529,27913.103,12.574
126,prefill,1,8192,9122,28897.147,28910.027,12.88
127,prefill,1,8192,17314,30146.922,30158.903,11.981
128,prefill,2,8192,24318,30824.762,30837.615,12.852
129,prefill,1,8192,9384,31864.277,31876.564,12.288
130,prefill,2,8192,15608,33115.125,33127.361,12.236
131,prefill,1,8192,10164,33804.567,33817.313,12.747
132,prefill,1,8192,18356,34695.461,34707.684,12.223
133,prefill,2,8192,20149,35419.927,35432.402,12.475
134,prefill,1,8192,14595,36504.27,36516.289,12.019
135,prefill,1,8192,22787,37272.18,37284.401,12.221
136,prefill,2,8192,28533,38191.062,38203.266,12.205
137,prefill,1,8192,10642,39467.803,39480.029,12.226
138,prefill,2,8192,17574,40741.877,40753.693,11.816
139,prefill,1,8192,9456,41486.908,41499.158,12.249
140,prefill,2,8192,11431,42480.79,42492.55,11.76
141,prefill,1,8192,14414,43172.241,43184.962,12.721
142,prefill,1,8192,22606,43839.735,43852.251,12.516
143,prefill,1,8192,30798,44751.178,44763.438,12.26
144,prefill,1,6068,36866,46018.326,46030.687,12.361
145,decode,8,8,36867,47637.635,47638.313,0.678
146,decode,8,8,36868,49124.17,49124.793,0.623
147,decode,8,8,36869,49152.143,49152.485,0.342
148,decode,8,8,36870,49181.347,49181.677,0.33
149,decode,8,8,36871,49210.907,49211.252,0.345
150,decode,8,8,36872,49240.555,49240.914,0.359
151,decode,8,8,36873,49269.86,49270.21,0.35
152,decode,8,8,36874,49299.445,49299.779,0.334
153,decode,8,8,36875,49329.01,49329.334,0.324
154,decode,8,8,36876,49358.519,49358.842,0.323
155,decode,8,8,36877,49388.113,49388.439,0.326
156,decode,8,8,36878,49417.826,49418.17,0.344
157,decode,8,8,36879,49447.479,49447.8,0.32
158,decode,8,8,36880,49477.286,49477.601,0.315
159,decode,8,8,36881,49506.836,49507.165,0.328
160,decode,8,8,36882,49536.999,49537.313,0.314
161,decode,8,8,36883,49566.278,49566.589,0.312
162,decode,8,8,36884,49595.983,49596.3,0.317
163,decode,8,8,36885,49625.578,49625.89,0.312
164,decode,8,8,36886,49655.324,49655.635,0.311
165,decode,8,8,36887,49685.061,49685.375,0.315
166,decode,8,8,36888,49714.725,49715.057,0.332
167,decode,8,8,36889,49744.409,49744.715,0.306
168,decode,8,8,36890,49774.12,49774.432,0.312
169,decode,8,8,36891,49803.782,49804.108,0.326
170,decode,8,8,36892,49833.429,49833.736,0.307
171,decode,8,8,36893,49863.06,49863.366,0.306
172,decode,8,8,36894,49892.765,49893.09,0.325
173,decode,8,8,36895,49922.483,49922.787,0.304
174,decode,8,8,36896,49952.174,49952.481,0.307
175,decode,8,8,36897,49981.822,49982.156,0.334
176,decode,8,8,36898,50011.692,50012.026,0.334
177,decode,8,8,36899,50041.233,50041.538,0.306
178,decode,8,8,36900,50070.909,50071.255,0.347
179,decode,8,8,36901,50100.592,50100.904,0.311
180,decode,8,8,36902,50130.843,50131.175,0.332
181,decode,8,8,36903,50159.965,50160.306,0.341
182,decode,8,8,36904,50189.645,50189.972,0.327
183,decode,8,8,36905,50219.524,50219.833,0.31
184,decode,8,8,36906,50249.053,50249.361,0.307
185,decode,8,8,36907,50278.924,50279.248,0.324
186,decode,8,8,36908,50308.455,50308.765,0.31
187,decode,8,8,36909,50338.165,50338.476,0.311
188,decode,8,8,36910,50367.894,50368.22,0.325
189,decode,8,8,36911,50397.571,50397.877,0.307
190,decode,8,8,36912,50427.257,50427.564,0.307
191,decode,8,8,36913,50456.951,50457.262,0.311
192,decode,8,8,36914,50486.654,50486.981,0.327
193,decode,8,8,36915,50516.421,50516.727,0.306
194,decode,8,8,36916,50546.02,50546.329,0.309
195,decode,8,8,36917,50575.702,50576.052,0.35
196,decode,8,8,36918,50605.368,50605.674,0.306
197,decode,8,8,36919,50635.048,50635.356,0.308
198,decode,8,8,36920,50664.647,50664.969,0.322
199,decode,8,8,36921,50694.315,50694.621,0.307
200,decode,8,8,36922,50724.186,50724.495,0.309
201,decode,8,8,36923,50753.685,50754.011,0.326
202,decode,8,8,36924,50783.386,50783.699,0.312
203,decode,8,8,36925,50813.056,50813.368,0.312
204,decode,8,8,36926,50842.855,50843.181,0.326
205,decode,8,8,36927,50872.463,50872.768,0.305
206,decode,8,8,36928,50902.136,50902.443,0.307
207,decode,8,8,36929,50931.838,50932.166,0.328
208,decode,8,8,36930,50961.396,50961.68,0.284
209,decode,8,8,36931,50991.12,50991.408,0.288
210,decode,8,8,36932,51020.697,51021.011,0.314
211,decode,8,8,36933,51050.329,51050.609,0.28
212,decode,8,8,36934,51080.16,51080.441,0.282
213,decode,8,8,36935,51109.711,51110.008,0.297
214,decode,8,8,36936,51139.434,51139.716,0.282
215,decode,8,8,36937,51169.234,51169.515,0.281
216,decode,8,8,36938,51198.846,51199.151,0.305
217,decode,8,8,36939,51228.479,51228.76,0.281
218,decode,8,8,36940,51258.12,51258.402,0.282
219,decode,8,8,36941,51287.766,51288.073,0.306
220,decode,8,8,36942,51317.526,51317.806,0.28
221,decode,8,8,36943,51347.077,51347.358,0.281
222,decode,8,8,36944,51376.736,51377.038,0.302
223,decode,8,8,36945,51406.404,51406.687,0.282
224,decode,8,8,36946,51436.089,51436.373,0.284
225,decode,8,8,36947,51465.734,51466.037,0.303
226,decode,8,8,36948,51495.398,51495.678,0.281
227,decode,8,8,36949,51525.051,51525.331,0.28
228,decode,8,8,36950,51554.703,51555.002,0.299
229,decode,8,8,36951,51584.403,51584.688,0.285
230,decode,8,8,36952,51614.063,51614.344,0.281
231,decode,8,8,36953,51643.765,51644.072,0.307
232,decode,8,8,36954,51673.441,51673.722,0.281
233,decode,8,8,36955,51703.125,51703.409,0.283
234,decode,8,8,36956,51732.799,51733.096,0.297
235,decode,8,8,36957,51762.503,51762.783,0.28
236,decode,8,8,36958,51792.188,51792.47,0.281
237,decode,8,8,36959,51821.918,51822.218,0.299
238,decode,8,8,36960,51851.577,51851.857,0.28
239,decode,8,8,36961,51881.221,51881.506,0.285
240,decode,8,8,36962,51911.141,51911.429,0.288
241,decode,8,8,36963,51940.605,51940.89,0.284
242,decode,8,8,36964,51970.299,51970.612,0.313
243,decode,8,8,36965,51999.968,52000.252,0.284
244,prefill,1,8192,8196,52030.766,52043.121,12.355
245,prefill,2,8192,15919,52059.836,52072.621,12.785
246,prefill,1,8192,8665,52696.312,52709.028,12.716
247,prefill,1,8192,16857,53657.154,53669.841,12.687
248,prefill,2,8192,18941,54316.447,54328.845,12.398
249,prefill,1,8192,14304,55334.117,55346.832,12.715
250,prefill,2,8192,17960,56103.382,56115.493,12.111
251,prefill,1,8192,12732,57008.215,57021.14,12.925
252,prefill,2,8192,15629,57843.724,57856.316,12.592
253,prefill,1,8192,13492,58679.075,58691.653,12.578
254,prefill,2,8192,13981,59436.639,59448.674,12.035
255,prefill,1,8192,15899,60306.74,60319.137,12.397
256,prefill,1,8192,24091,60961.487,60973.866,12.38
257,prefill,2,8192,27540,61937.234,61950.129,12.895
258,prefill,1,8192,12939,63268.431,63280.639,12.208
259,prefill,1,8192,21131,64263.282,64275.294,12.012
260,prefill,1,8192,29323,65108.345,65121.649,13.304
261,prefill,2,8192,31715,66312.704,66325.053,12.349
262,prefill,1,8192,13996,67867.118,67879.753,12.635
263,prefill,1,8192,22188,68833.734,68845.821,12.087
264,prefill,2,8192,25982,69726.277,69738.873,12.597
265,prefill,1,8192,12594,70975.662,70988.182,12.52
266,prefill,1,8192,20786,71989.593,72001.734,12.141
267,prefill,1,3778,24564,72819.568,72832.371,12.803
268,decode,9,16,31716,74010.185,74011.696,1.511
269,decode,9,16,31717,74697.662,74698.085,0.423
270,decode,9,16,31718,74731.685,74732.044,0.359
271,decode,9,16,31719,74765.331,74765.667,0.337
272,decode,9,16,31720,74799.669,74800.027,0.358
273,decode,9,16,31721,74833.518,74833.85,0.332
274,decode,9,16,31722,74867.725,74868.094,0.369
275,decode,9,16,31723,74901.609,74901.995,0.386
276,decode,9,16,31724,74935.86,74936.23,0.369
277,decode,9,16,31725,74969.662,74969.999,0.337
278,decode,9,16,31726,75003.678,75004.027,0.349
279,decode,9,16,31727,75037.638,75037.981,0.343
280,decode,9,16,31728,75072.061,75072.392,0.331
281,decode,9,16,31729,75105.782,75106.123,0.342
282,decode,9,16,31730,75139.901,75140.247,0.346
283,decode,9,16,31731,75173.702,75174.03,0.328
284,decode,9,16,31732,75207.921,75208.247,0.326
285,decode,9,16,31733,75241.814,75242.149,0.334
286,decode,9,16,31734,75275.955,75276.277,0.322
287,decode,9,16,31735,75310.016,75310.365,0.349
288,decode,9,16,31736,75344.282,75344.601,0.319
289,decode,9,16,31737,75378.252,75378.595,0.343
290,decode,9,16,31738,75412.261,75412.583,0.322
291,decode,9,16,31739,75446.236,75446.567,0.332
292,decode,9,16,31740,75480.449,75480.77,0.32
293,decode,9,16,31741,75514.57,75514.907,0.337
294,decode,9,16,31742,75548.535,75548.858,0.322
295,decode,9,16,31743,75582.357,75582.673,0.316
296,decode,9,16,31744,75616.624,75616.986,0.362
297,decode,9,16,31745,75650.61,75650.926,0.315
298,decode,9,16,31746,75684.707,75685.046,0.339
299,decode,9,16,31747,75718.565,75718.904,0.34
300,decode,9,16,31748,75752.951,75753.275,0.325
301,decode,9,16,31749,75787.286,75787.607,0.321
302,decode,9,16,31750,75821.35,75821.701,0.35
303,decode,9,16,31751,75855.158,75855.484,0.326
304,decode,9,16,31752,75889.306,75889.631,0.325
305,decode,9,16,31753,75924.451,75924.9,0.449
306,decode,9,16,31754,75957.372,75957.69,0.318
307,decode,9,16,31755,75991.279,75991.592,0.313
308,decode,9,16,31756,76025.55,76025.874,0.324
309,decode,9,16,31757,76059.668,76060.004,0.336
310,decode,9,16,31758,76093.703,76094.039,0.336
311,decode,9,16,31759,76127.599,76127.919,0.32
312,decode,9,16,31760,76161.902,76162.231,0.329
313,decode,9,16,31761,76195.756,76196.088,0.332
314,decode,9,16,31762,76229.877,76230.21,0.334
315,decode,9,16,31763,76263.924,76264.256,0.332
316,decode,9,16,31764,76298.129,76298.446,0.318
317,decode,9,16,31765,76332.145,76332.485,0.341
318,decode,9,16,31766,76366.106,76366.426,0.32
319,decode,9,16,31767,76400.02,76400.337,0.318
320,decode,9,16,31768,76434.555,76434.888,0.333
321,decode,9,16,31769,76468.21,76468.536,0.326
322,decode,9,16,31770,76502.287,76502.606,0.319
323,decode,9,16,31771,76536.169,76536.507,0.338
324,decode,9,16,31772,76570.477,76570.806,0.329
325,decode,9,16,31773,76604.431,76604.773,0.343
326,decode,9,16,31774,76638.452,76638.767,0.315
327,decode,9,16,31775,76672.318,76672.633,0.314
328,decode,9,16,31776,76706.537,76706.868,0.331
329,decode,9,16,31777,76740.634,76740.97,0.335
330,decode,9,16,31778,76774.664,76774.992,0.328
331,decode,9,16,31779,76808.662,76809.008,0.346
332,decode,9,16,31780,76842.927,76843.258,0.332
333,decode,9,16,31781,76876.787,76877.119,0.332
334,decode,9,16,31782,76910.831,76911.176,0.345
335,decode,9,16,31783,76944.741,76945.072,0.331
336,decode,9,16,31784,76979.008,76979.325,0.316
337,decode,9,16,31785,77012.977,77013.292,0.315
338,decode,9,16,31786,77047.091,77047.437,0.346
339,decode,9,16,31787,77081.081,77081.397,0.316
340,decode,9,16,31788,77115.441,77115.754,0.312
341,decode,9,16,31789,77149.182,77149.495,0.313
342,decode,9,16,31790,77183.27,77183.592,0.322
343,decode,9,16,31791,77217.302,77217.616,0.315
344,decode,9,16,31792,77251.564,77251.876,0.312
345,decode,9,16,31793,77285.562,77285.969,0.407
346,decode,9,16,31794,77319.631,77320.023,0.393
347,decode,9,16,31795,77353.589,77353.904,0.315
348,decode,9,16,31796,77387.961,77388.317,0.356
349,decode,9,16,31797,77421.812,77422.141,0.328
350,decode,9,16,31798,77455.942,77456.262,0.32
351,decode,9,16,31799,77489.836,77490.164,0.329
352,decode,9,16,31800,77524.1,77524.416,0.316
353,decode,9,16,31801,77558.079,77558.392,0.313
354,decode,9,16,31802,77592.114,77592.425,0.312
355,decode,9,16,31803,77626.088,77626.424,0.337
356,decode,9,16,31804,77660.354,77660.67,0.317
357,decode,9,16,31805,77694.214,77694.527,0.313
358,decode,9,16,31806,77728.387,77728.727,0.34
359,decode,9,16,31807,77762.348,77762.675,0.327
360,decode,9,16,31808,77796.679,77797.02,0.341
361,decode,9,16,31809,77830.554,77830.872,0.318
362,decode,9,16,31810,77864.727,77865.069,0.342
363,decode,9,16,31811,77898.656,77898.986,0.33
364,decode,9,16,31812,77933.064,77933.381,0.317
365,decode,9,16,31813,77966.972,77967.304,0.332
366,decode,9,16,31814,78001.035,78001.349,0.315
367,prefill,1,8192,8196,78036.503,78049.258,12.755
368,prefill,1,8192,16388,78069.349,78082.682,13.333
369,prefill,1,8192,24580,78706.382,78718.99,12.608
370,prefill,2,8192,30352,79704.15,79716.712,12.562
371,prefill,1,8192,10616,81056.801,81069.233,12.432
372,prefill,2,8192,17485,82388.361,82400.417,12.055
373,prefill,1,8192,9519,83132.319,83145.051,12.732
374,prefill,1,8192,17711,84119.823,84133.484,13.661
375,prefill,2,8192,24980,84815.363,84827.623,12.26
376,prefill,1,8192,9119,85871.069,85883.593,12.524
377,prefill,2,8192,15284,87171.511,87183.722,12.211
378,prefill,1,8192,10235,87847.617,87860.302,12.686
379,prefill,1,8192,18427,88722.631,88734.414,11.783
380,prefill,1,8192,26619,89448.76,89461.203,12.443
381,prefill,2,8192,30549,90537.166,90549.234,12.068
382,prefill,1,8192,12458,91974.559,91986.78,12.221
383,prefill,1,8192,20650,93095.737,93108.27,12.533
384,prefill,1,8192,28842,93920.457,93933.156,12.699
385,prefill,2,8192,34050,95105.071,95117.18,12.109
386,prefill,1,7894,10882,96639.047,96651.466,12.42
387,decode,7,8,34051,98023.095,98023.758,0.663
388,decode,7,8,34052,98759.541,98759.896,0.355
389,decode,7,8,34053,98787.8,98788.133,0.333
390,decode,7,8,34054,98815.153,98815.471,0.318
391,decode,7,8,34055,98842.886,98843.214,0.328
392,decode,7,8,34056,98870.65,98870.981,0.331
393,decode,7,8,34057,98898.472,98898.787,0.315
394,decode,7,8,34058,98926.233,98926.547,0.314
395,decode,7,8,34059,98953.997,98954.308,0.311
396,decode,7,8,34060,98981.735,98982.063,0.328
397,decode,7,8,34061,99009.508,99009.821,0.313
398,decode,7,8,34062,99037.24,99037.551,0.311
399,decode,7,8,34063,99065.012,99065.338,0.325
400,decode,7,8,34064,99092.919,99093.255,0.337
401,decode,7,8,34065,99120.857,99121.192,0.335
402,decode,7,8,34066,99148.419,99148.728,0.309
403,decode,7,8,34067,99176.075,99176.385,0.311
404,decode,7,8,34068,99203.927,99204.257,0.331
405,decode,7,8,34069,99231.646,99231.97,0.324
406,decode,7,8,34070,99259.714,99260.04,0.326
407,decode,7,8,34071,99287.234,99287.541,0.307
408,decode,7,8,34072,99315.005,99315.313,0.308
409,decode,7,8,34073,99342.784,99343.275,0.491
410,decode,7,8,34074,99370.594,99370.907,0.313
411,decode,7,8,34075,99398.358,99398.666,0.307
412,decode,7,8,34076,99426.217,99426.526,0.309
413,decode,7,8,34077,99453.838,99454.165,0.327
414,decode,7,8,34078,99481.738,99482.065,0.326
415,decode,7,8,34079,99509.516,99509.824,0.308
416,decode,7,8,34080,99537.192,99537.499,0.308
417,decode,7,8,34081,99565.076,99565.385,0.309
418,decode,7,8,34082,99592.838,99593.165,0.327
419,decode,7,8,34083,99620.49,99620.797,0.307
420,decode,7,8,34084,99648.445,99648.778,0.333
421,decode,7,8,34085,99675.981,99676.304,0.323
422,decode,7,8,34086,99703.787,99704.135,0.349
423,decode,7,8,34087,99731.584,99731.893,0.309
424,decode,7,8,34088,99759.33,99759.675,0.345
425,decode,7,8,34089,99787.174,99787.483,0.309
426,decode,7,8,34090,99814.977,99815.289,0.312
427,decode,7,8,34091,99843.029,99843.338,0.309
428,decode,7,8,34092,99870.481,99870.789,0.308
429,decode,7,8,34093,99898.296,99898.604,0.308
430,decode,7,8,34094,99926.088,99926.397,0.309
431,decode,7,8,34095,99953.979,99954.289,0.31
432,decode,7,8,34096,99981.706,99982.032,0.326
433,decode,7,8,34097,100009.545,100009.853,0.308
434,decode,7,8,34098,100038.433,100038.742,0.31
435,decode,7,8,34099,100065.0,100065.311,0.311
436,decode,7,8,34100,100092.71,100093.039,0.329
437,decode,7,8,34101,100120.469,100120.777,0.308
438,decode,7,8,34102,100148.309,100148.616,0.307
439,decode,7,8,34103,100176.109,100176.423,0.314
440,decode,7,8,34104,100204.088,100204.398,0.31
441,decode,7,8,34105,100231.801,100232.13,0.329
442,decode,7,8,34106,100259.559,100259.872,0.313
443,decode,7,8,34107,100287.308,100287.614,0.306
444,decode,7,8,34108,100315.059,100315.365,0.306
