iter,is_decode,batch_size,num_tokens,max_seq_len
0,True,8,8,38240
1,True,8,8,38241
2,True,8,8,38242
3,True,8,8,38243
4,True,8,8,38244
5,True,8,8,38245
6,True,8,8,38246
7,True,8,8,38247
8,True,8,8,38248
9,True,8,8,38249
10,True,8,8,38250
11,True,8,8,38251
12,True,8,8,38252
13,True,8,8,38253
14,True,8,8,38254
15,True,8,8,38255
16,True,8,8,38256
17,True,8,8,38257
18,True,8,8,38258
19,True,8,8,38259
20,True,8,8,38260
21,True,8,8,38261
22,True,8,8,38262
23,True,8,8,38263
24,True,8,8,38264
25,True,8,8,38265
26,True,8,8,38266
27,True,8,8,38267
28,True,8,8,38268
29,True,8,8,38269
30,True,8,8,38270
31,True,8,8,38271
32,True,8,8,38272
33,True,8,8,38273
34,True,8,8,38274
35,True,8,8,38275
36,True,8,8,38276
37,True,8,8,38277
38,True,8,8,38278
39,True,8,8,38279
40,True,8,8,38280
41,True,8,8,38281
42,True,8,8,38282
43,True,8,8,38283
44,True,8,8,38284
45,True,8,8,38285
46,True,8,8,38286
47,True,8,8,38287
48,True,8,8,38288
49,True,8,8,38289
50,True,8,8,38290
51,True,8,8,38291
52,True,8,8,38292
53,True,8,8,38293
54,True,8,8,38294
55,True,8,8,38295
56,True,8,8,38296
57,True,8,8,38297
58,True,8,8,38298
59,True,8,8,38299
60,True,8,8,38300
61,True,8,8,38301
62,True,8,8,38302
63,True,8,8,38303
64,True,8,8,38304
65,True,8,8,38305
66,True,8,8,38306
67,True,8,8,38307
68,True,8,8,38308
69,True,8,8,38309
70,True,8,8,38310
71,True,8,8,38311
72,True,8,8,38312
73,True,8,8,38313
74,True,8,8,38314
75,True,8,8,38315
76,True,8,8,38316
77,True,8,8,38317
78,True,8,8,38318
79,True,8,8,38319
80,True,8,8,38320
81,True,8,8,38321
82,True,8,8,38322
83,True,8,8,38323
84,True,8,8,38324
85,True,8,8,38325
86,True,8,8,38326
87,True,8,8,38327
88,True,8,8,38328
89,True,8,8,38329
90,True,8,8,38330
91,True,8,8,38331
92,True,8,8,38332
93,True,8,8,38333
94,True,8,8,38334
95,True,8,8,38335
96,True,8,8,38336
97,True,8,8,38337
98,True,8,8,38338
99,True,8,8,36866
100,True,8,8,36867
101,True,8,8,36868
102,True,8,8,36869
103,True,8,8,36870
104,True,8,8,36871
105,True,8,8,36872
106,True,8,8,36873
107,True,8,8,36874
108,True,8,8,36875
109,True,8,8,36876
110,True,8,8,36877
111,True,8,8,36878
112,True,8,8,36879
113,True,8,8,36880
114,True,8,8,36881
115,True,8,8,36882
116,True,8,8,36883
117,True,8,8,36884
118,True,8,8,36885
119,True,8,8,36886
120,True,8,8,36887
121,True,8,8,36888
122,True,8,8,36889
123,True,8,8,36890
124,True,8,8,36891
125,True,8,8,36892
126,True,8,8,36893
127,True,8,8,36894
128,True,8,8,36895
129,True,8,8,36896
130,True,8,8,36897
131,True,8,8,36898
132,True,8,8,36899
133,True,8,8,36900
134,True,8,8,36901
135,True,8,8,36902
136,True,8,8,36903
137,True,8,8,36904
138,True,8,8,36905
139,True,8,8,36906
140,True,8,8,36907
141,True,8,8,36908
142,True,8,8,36909
143,True,8,8,36910
144,True,8,8,36911
145,True,8,8,36912
146,True,8,8,36913
147,True,8,8,36914
148,True,8,8,36915
149,True,8,8,36916
150,True,8,8,36917
151,True,8,8,36918
152,True,8,8,36919
153,True,8,8,36920
154,True,8,8,36921
155,True,8,8,36922
156,True,8,8,36923
157,True,8,8,36924
158,True,8,8,36925
159,True,8,8,36926
160,True,8,8,36927
161,True,8,8,36928
162,True,8,8,36929
163,True,8,8,36930
164,True,8,8,36931
165,True,8,8,36932
166,True,8,8,36933
167,True,8,8,36934
168,True,8,8,36935
169,True,8,8,36936
170,True,8,8,36937
171,True,8,8,36938
172,True,8,8,36939
173,True,8,8,36940
174,True,8,8,36941
175,True,8,8,36942
176,True,8,8,36943
177,True,8,8,36944
178,True,8,8,36945
179,True,8,8,36946
180,True,8,8,36947
181,True,8,8,36948
182,True,8,8,36949
183,True,8,8,36950
184,True,8,8,36951
185,True,8,8,36952
186,True,8,8,36953
187,True,8,8,36954
188,True,8,8,36955
189,True,8,8,36956
190,True,8,8,36957
191,True,8,8,36958
192,True,8,8,36959
193,True,8,8,36960
194,True,8,8,36961
195,True,8,8,36962
196,True,8,8,36963
197,True,8,8,36964
198,True,9,9,31715
199,True,9,9,31716
200,True,9,9,31717
201,True,9,9,31718
202,True,9,9,31719
203,True,9,9,31720
204,True,9,9,31721
205,True,9,9,31722
206,True,9,9,31723
207,True,9,9,31724
208,True,9,9,31725
209,True,9,9,31726
210,True,9,9,31727
211,True,9,9,31728
212,True,9,9,31729
213,True,9,9,31730
214,True,9,9,31731
215,True,9,9,31732
216,True,9,9,31733
217,True,9,9,31734
218,True,9,9,31735
219,True,9,9,31736
220,True,9,9,31737
221,True,9,9,31738
222,True,9,9,31739
223,True,9,9,31740
224,True,9,9,31741
225,True,9,9,31742
226,True,9,9,31743
227,True,9,9,31744
228,True,9,9,31745
229,True,9,9,31746
230,True,9,9,31747
