iter,type,batch_size,num_tokens,max_seq_len,t_start_ms,t_end_ms,duration_ms
113,decode,35,40,7853,100328.184,100328.587,0.403
114,decode,35,40,7854,100360.095,100360.501,0.406
115,decode,35,40,7855,100392.066,100392.467,0.401
116,decode,35,40,7856,100424.019,100424.429,0.41
117,decode,35,40,7857,100455.969,100456.374,0.405
118,decode,35,40,7858,100488.059,100488.459,0.401
119,decode,35,40,7859,100520.119,100520.52,0.401
120,decode,35,40,7860,100552.432,100552.85,0.418
121,decode,35,40,7861,100584.346,100584.859,0.514
122,decode,35,40,7862,100616.407,100616.844,0.438
123,decode,35,40,7863,100648.557,100648.971,0.415
124,decode,35,40,7864,100680.564,100680.982,0.418
125,decode,35,40,7865,100712.587,100713.0,0.413
126,decode,35,40,7866,100744.906,100745.324,0.418
127,decode,35,40,7867,100776.785,100777.19,0.405
128,decode,35,40,7868,100808.846,100809.25,0.403
129,decode,35,40,7869,100841.01,100841.41,0.4
130,decode,35,40,7870,100873.024,100873.426,0.402
131,decode,35,40,7871,100905.042,100905.441,0.398
132,decode,35,40,7872,100937.307,100937.711,0.403
133,decode,35,40,7873,100969.394,100969.811,0.418
134,decode,35,40,7874,101001.597,101002.013,0.416
135,decode,35,40,7875,101033.712,101034.129,0.417
136,decode,35,40,7876,101066.016,101066.428,0.412
137,decode,35,40,7877,101098.112,101098.518,0.406
138,decode,35,40,7878,101130.231,101130.63,0.399
139,decode,35,40,7879,101162.413,101162.988,0.575
140,decode,35,40,7880,101194.659,101195.086,0.427
141,decode,35,40,7881,101226.621,101227.04,0.419
142,decode,35,40,7882,101258.957,101259.357,0.4
143,decode,35,40,7883,101290.973,101291.374,0.401
144,decode,35,40,7884,101323.18,101323.58,0.4
145,decode,35,40,7885,101355.309,101355.708,0.4
146,decode,35,40,7886,101387.366,101387.786,0.421
147,decode,35,40,7887,101419.766,101420.214,0.449
148,decode,35,40,7888,101451.871,101452.274,0.403
149,decode,35,40,7889,101483.933,101484.338,0.404
150,decode,35,40,7890,101516.139,101516.545,0.407
151,decode,35,40,7891,101548.163,101548.563,0.4
152,decode,35,40,7892,101580.287,101580.69,0.403
153,decode,35,40,7893,101612.453,101612.89,0.436
154,decode,35,40,7894,101644.516,101644.932,0.416
155,decode,35,40,7895,101676.695,101677.108,0.413
156,decode,35,40,7896,101708.832,101709.234,0.401
